ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
data mining	13953	PROBLEM MD:392 PM:584 DT:8 MC:1	DATASET MD:124 PM:183 DT:529 MC:29	DATASET MD:137 PM:144 DT:320 MC:10	DATASET MD:100 PM:112 DT:431 MC:10	DATASET MD:110 PM:125 DT:243 MC:12
machine learning	9144	METHOD MD:459 PM:173 DT:24	DATASET MD:139 PM:90 DT:301 MC:8	DATASET MD:65 PM:78 DT:255 MC:17	DATASET MD:83 PM:97 DT:192 MC:10	DATASET MD:96 PM:86 DT:127 MC:13
tags	8471	DATASET MD:2 PM:3 DT:6 MC:2	METHOD MD:18 PM:16 DT:16 MC:12	METHOD MD:58 PM:33 DT:52 MC:20	METHOD MD:78 PM:44 DT:61 MC:30	METHOD MD:89 PM:61 DT:61 MC:30
search engine	6269	PROBLEM MD:29 PM:33 DT:27 MC:2	DATASET MD:35 PM:25 DT:80 MC:18	METHOD MD:98 PM:57 DT:48 MC:27	METHOD MD:86 PM:53 DT:76 MC:25	METHOD MD:73 PM:55 DT:66 MC:27
social networks	5801	METHOD MD:5 DT:4	PROBLEM MD:63 PM:118 DT:32 MC:4	DATASET MD:42 PM:22 DT:54 MC:4	METHOD MD:57 PM:35 DT:34 MC:7	METHOD MD:82 PM:28 DT:38 MC:13
world wide web	5509	DATASET DT:1	PROBLEM MD:2 PM:5 DT:2 MC:2	METHOD MD:20 PM:19 DT:10	DATASET MD:7 PM:9 DT:30	METHOD MD:18 PM:7 DT:9 MC:1
social network	5373	DATASET MD:15 PM:15 DT:247 MC:1	METHOD MD:49 PM:23 DT:19 MC:3	METHOD MD:81 PM:41 DT:40 MC:9	METHOD MD:70 PM:42 DT:38 MC:9	METHOD MD:71 PM:46 DT:41 MC:12
information retrieval	5194	PROBLEM MD:58 PM:171 DT:7 MC:8	METHOD MD:168 PM:92 DT:44 MC:20	DATASET MD:38 PM:34 DT:77 MC:16	PROBLEM MD:48 PM:54 DT:27 MC:8	PROBLEM MD:54 PM:64 DT:33 MC:20
new york	4847	N/A	DATASET MD:1 PM:3 DT:7 MC:1	DATASET MD:2 PM:1 DT:60 MC:2	DATASET MD:4 PM:4 DT:14	DATASET MD:8 PM:6 DT:44 MC:1
computer science	4594	PROBLEM MD:2 PM:3	DATASET MD:2 PM:17 DT:18	DATASET MD:1 PM:8 DT:11	PROBLEM MD:8 PM:22 DT:11 MC:1	DATASET MD:8 PM:12 DT:15
search engines	3940	DATASET MD:3 PM:3 DT:4	PROBLEM MD:11 PM:24 DT:22 MC:7	DATASET MD:24 PM:29 DT:132 MC:5	DATASET MD:21 PM:31 DT:39 MC:6	PROBLEM MD:22 PM:36 DT:24 MC:9
sessions	3875	PROBLEM MD:1 PM:7 DT:3 MC:3	PROBLEM MD:11 PM:34 DT:5 MC:2	DATASET MD:26 PM:29 DT:37 MC:13	METHOD MD:39 PM:25 DT:38 MC:25	PROBLEM MD:32 PM:34 DT:30 MC:11
feature selection	3675	METHOD MD:264 PM:147 MC:20	METHOD MD:100 PM:49 DT:28 MC:23	METHOD MD:81 PM:46 DT:70 MC:12	METHOD MD:98 PM:69 DT:73 MC:14	METHOD MD:77 PM:51 DT:66 MC:21
semantic web	3442	DATASET MD:36 PM:31 DT:81	DATASET MD:26 PM:35 DT:102 MC:3	DATASET MD:47 PM:59 DT:64 MC:1	DATASET MD:31 PM:36 DT:74 MC:1	METHOD MD:67 PM:38 DT:40
state of the art	3043	METHOD MD:162 PM:29 DT:6 MC:3	METHOD MD:144 PM:42 DT:17 MC:10	METHOD MD:259 PM:49 DT:16 MC:8	METHOD MD:127 PM:44 DT:28 MC:5	METHOD MD:117 PM:45 DT:36 MC:4
k means	2858	METHOD MD:65 PM:17 DT:1 MC:2	METHOD MD:215 PM:16 DT:10 MC:30	METHOD MD:77 PM:15 DT:25 MC:24	METHOD MD:83 PM:12 DT:52 MC:16	METHOD MD:79 PM:9 DT:43 MC:16
web services	2842	METHOD MD:35 PM:10 DT:1	METHOD MD:62 PM:35 DT:15 MC:4	METHOD MD:61 PM:37 DT:11 MC:7	METHOD MD:62 PM:55 DT:17 MC:5	METHOD MD:59 PM:30 DT:13 MC:3
collaborative filtering	2695	METHOD MD:220 PM:53 DT:10 MC:1	METHOD MD:145 PM:39 DT:4 MC:5	METHOD MD:71 PM:34 DT:26 MC:15	METHOD MD:54 PM:28 DT:15 MC:4	METHOD MD:45 PM:25 DT:9 MC:3
random walk	2669	METHOD MD:268 PM:57 DT:31 MC:7	METHOD MD:56 PM:15 DT:7 MC:21	METHOD MD:77 PM:14 DT:6 MC:14	METHOD MD:47 PM:11 DT:18 MC:8	METHOD MD:52 PM:13 DT:12 MC:23
artificial intelligence	2620	METHOD MD:5 PM:3	DATASET MD:5 PM:5 DT:22	DATASET MD:8 PM:5 DT:13 MC:7	METHOD MD:26 PM:19 DT:6	DATASET MD:8 PM:9 DT:59 MC:6
association rules	2391	METHOD MD:9	DATASET MD:25 PM:8 DT:29 MC:8	METHOD MD:88 PM:49 DT:56 MC:6	DATASET MD:44 PM:33 DT:64 MC:10	DATASET MD:35 PM:19 DT:48 MC:4
active learning	2327	METHOD MD:284 PM:108 MC:1	METHOD MD:55 PM:35 DT:13 MC:14	METHOD MD:59 PM:27 DT:28 MC:8	METHOD MD:48 PM:20 DT:42 MC:3	METHOD MD:58 PM:26 DT:31 MC:5
upper bound	2267	METRIC MD:2 PM:1 MC:56	METHOD MD:9 PM:4 DT:2 MC:6	METRIC MD:32 PM:10 DT:7 MC:34	METRIC MD:37 PM:12 DT:7 MC:57	METHOD MD:34 PM:8 DT:10 MC:29
decision tree	2252	METHOD MD:163 PM:3	METHOD MD:98 PM:22 DT:8 MC:2	METHOD MD:62 PM:23 DT:25 MC:10	METHOD MD:69 PM:22 DT:62 MC:10	DATASET MD:47 PM:31 DT:56 MC:9
cross validation	2193	METHOD MD:88 PM:21	METHOD MD:21 PM:5 DT:6 MC:9	DATASET MD:30 PM:9 DT:47 MC:27	DATASET MD:49 PM:19 DT:92 MC:39	DATASET MD:46 PM:18 DT:61 MC:47
logistic regression	2091	METHOD MD:292 PM:16 DT:2 MC:13	METHOD MD:47 PM:9 DT:3 MC:5	METHOD MD:69 PM:17 DT:15 MC:10	METHOD MD:64 PM:11 DT:32 MC:17	METHOD MD:68 PM:15 DT:26 MC:13
recommender systems	2085	DATASET MD:1 PM:1 DT:2	PROBLEM MD:16 PM:28 DT:9 MC:5	PROBLEM MD:12 PM:16 DT:16 MC:2	METHOD MD:28 PM:19 DT:9 MC:4	PROBLEM MD:18 PM:35 DT:11 MC:1
power law	1903	METRIC MD:7 DT:2 MC:29	METHOD MD:18 PM:3 DT:6 MC:11	METHOD MD:24 PM:10 DT:13 MC:22	DATASET MD:21 PM:8 DT:44 MC:10	METHOD MD:21 PM:4 DT:12 MC:9
link prediction	1901	PROBLEM MD:78 PM:330 MC:32	PROBLEM MD:41 PM:54 DT:2 MC:6	PROBLEM MD:25 PM:40 DT:22 MC:9	PROBLEM MD:30 PM:47 DT:10 MC:7	PROBLEM MD:27 PM:35 DT:12 MC:5
knowledge base	1834	PROBLEM MD:5 PM:11 DT:8 MC:2	DATASET MD:7 PM:4 DT:9 MC:1	DATASET MD:23 PM:24 DT:25 MC:4	METHOD MD:21 PM:13 DT:9 MC:2	METHOD MD:26 PM:18 DT:11 MC:6
information systems	1814	PROBLEM PM:2 MC:1	DATASET MD:7 PM:3 DT:12 MC:1	DATASET MD:9 PM:11 DT:75 MC:1	PROBLEM MD:13 PM:25 DT:16	DATASET MD:13 PM:26 DT:56 MC:4
frequent itemsets	1612	METHOD MD:2 PM:1	DATASET MD:10 PM:3 DT:18 MC:1	METHOD MD:43 PM:28 DT:39 MC:1	METHOD MD:43 PM:13 DT:35 MC:6	DATASET MD:30 PM:9 DT:37 MC:4
topic models	1589	METHOD MD:2 PM:1	PROBLEM MD:8 PM:16 DT:12 MC:5	METHOD MD:51 PM:24 DT:10 MC:4	METHOD MD:27 PM:14 DT:9 MC:5	METHOD MD:30 PM:16 DT:13 MC:3
standard deviation	1567	METRIC MC:2	METRIC MD:1 DT:1 MC:12	METRIC MD:4 PM:6 DT:16 MC:24	METRIC MD:6 PM:3 DT:5 MC:22	METRIC MD:13 DT:12 MC:21
lower bound	1471	METRIC MD:3 PM:3 MC:7	METHOD MD:5 PM:1 DT:1 MC:2	METHOD MD:13 PM:2 DT:6 MC:12	METRIC MD:26 PM:12 DT:7 MC:38	METHOD MD:28 PM:6 DT:7 MC:26
f measure	1415	METRIC MD:3 PM:7 MC:46	METRIC MD:6 PM:3 DT:4 MC:16	METRIC MD:23 PM:18 DT:7 MC:26	METRIC MD:20 PM:9 DT:12 MC:26	METHOD MD:16 PM:11 DT:7 MC:14
support vector machines	1385	METHOD MD:3	METHOD MD:23 PM:11 DT:7 MC:1	METHOD MD:29 PM:17 DT:14 MC:1	PROBLEM MD:19 PM:36 DT:3 MC:2	DATASET MD:18 PM:8 DT:30 MC:5
decision trees	1358	METHOD MD:5	DATASET MD:12 PM:13 DT:20 MC:1	METHOD MD:36 PM:17 DT:33 MC:3	DATASET MD:23 PM:8 DT:30 MC:4	DATASET MD:23 PM:19 DT:24 MC:5
anomaly detection	1348	METHOD MD:95 PM:56 DT:2 MC:2	METHOD MD:36 PM:16 DT:17 MC:9	DATASET MD:32 PM:18 DT:48 MC:3	DATASET MD:30 PM:17 DT:31 MC:6	DATASET MD:25 PM:17 DT:30 MC:5
matrix factorization	1332	METHOD MD:170 PM:41 MC:1	METHOD MD:42 PM:6 DT:2 MC:5	METHOD MD:32 PM:7 DT:9	METHOD MD:41 PM:16 DT:8 MC:3	METHOD MD:43 PM:7 DT:9 MC:6
information extraction	1332	PROBLEM MD:32 PM:69 DT:3	METHOD MD:23 PM:23 DT:12	METHOD MD:29 PM:11 DT:13	DATASET MD:18 PM:18 DT:21	PROBLEM MD:9 PM:15 DT:13
class labels	1326	DATASET DT:2	DATASET MD:5 PM:5 DT:11	DATASET MD:19 PM:5 DT:47 MC:3	DATASET MD:21 PM:9 DT:40 MC:8	METHOD MD:22 PM:9 DT:15 MC:8
web server	1322	METHOD MD:31 PM:28	DATASET MD:2 PM:8 DT:11 MC:1	PROBLEM MD:25 PM:36 DT:13 MC:1	PROBLEM MD:18 PM:27 DT:12 MC:1	METHOD MD:16 PM:16 DT:13 MC:2
log likelihood	1321	METRIC MD:7 PM:3 DT:37 MC:144	METRIC MD:8 PM:7 DT:9 MC:31	DATASET MD:36 PM:8 DT:51 MC:17	METHOD MD:49 PM:7 DT:40 MC:24	METHOD MD:39 DT:18 MC:22
nearest neighbor	1275	METHOD MD:97 PM:17 DT:8 MC:8	METHOD MD:23 PM:5 DT:4 MC:3	METHOD MD:17 PM:3 DT:11 MC:14	METHOD MD:22 PM:3 DT:17 MC:10	METHOD MD:30 PM:10 DT:15 MC:10
user interface	1247	PROBLEM MD:4 PM:72	PROBLEM MD:15 PM:18 DT:5	PROBLEM MD:10 PM:36 DT:6 MC:1	PROBLEM MD:14 PM:26 DT:9 MC:2	PROBLEM MD:10 PM:32 DT:5 MC:1
classification accuracy	1239	METRIC PM:1 MC:3	METRIC MD:8 PM:9 DT:3 MC:11	METHOD MD:25 PM:8 DT:22 MC:10	DATASET MD:37 PM:12 DT:39 MC:19	METHOD MD:33 PM:16 DT:23 MC:9
content based	1235	METHOD MD:87 PM:4 DT:3 MC:9	METHOD MD:40 PM:20 DT:1 MC:8	METHOD MD:31 PM:19 DT:5 MC:10	METHOD MD:34 PM:7 DT:13 MC:1	METHOD MD:27 PM:8 DT:3 MC:6
cosine similarity	1219	METRIC MD:7 MC:114	METRIC MD:10 PM:2 DT:4 MC:15	METRIC MD:15 PM:4 DT:6 MC:29	METRIC MD:11 PM:3 DT:11 MC:24	METRIC MD:20 PM:1 DT:5 MC:21
text classification	1205	PROBLEM MD:23 PM:59 DT:5 MC:1	METHOD MD:37 PM:27 DT:10	PROBLEM MD:16 PM:28 DT:16 MC:3	METHOD MD:33 PM:16 DT:11 MC:4	METHOD MD:18 PM:14 DT:6 MC:2
data structure	1204	PROBLEM MD:1 PM:6 DT:1	METHOD MD:14 PM:2 DT:6 MC:1	METHOD MD:16 PM:5 DT:16 MC:1	METHOD MD:31 PM:7 DT:22 MC:3	DATASET MD:16 PM:7 DT:28 MC:4
false positives	1201	METHOD MD:1 DT:1	METHOD MD:2 PM:2 DT:1 MC:1	METHOD MD:17 PM:13 DT:6 MC:4	PROBLEM MD:16 PM:17 DT:7 MC:2	METHOD MD:15 PM:10 DT:1 MC:9
low rank	1173	METHOD MD:36 DT:5 MC:4	METHOD MD:21 PM:9 DT:2 MC:7	METHOD MD:24 PM:17 DT:7 MC:4	METHOD MD:24 PM:10 DT:7 MC:8	METHOD MD:18 PM:7 DT:9 MC:3
greedy algorithm	1160	METHOD MD:10	METHOD MD:16 PM:2 DT:2 MC:1	METHOD MD:48 PM:15 DT:1 MC:11	METHOD MD:59 PM:13 MC:10	METHOD MD:42 PM:22 MC:11
euclidean distance	1158	METRIC MD:7 MC:64	METRIC MD:7 PM:4 DT:3 MC:16	METRIC MD:9 PM:2 DT:8 MC:29	METRIC MD:23 PM:3 DT:8 MC:50	METHOD MD:18 PM:4 DT:12 MC:17
language model	1141	METHOD MD:19 PM:1 DT:3 MC:10	METHOD MD:17 PM:2 DT:1 MC:3	METHOD MD:34 PM:6 DT:7 MC:6	METHOD MD:64 PM:4 DT:7 MC:7	METHOD MD:69 PM:8 DT:4 MC:10
error rate	1125	METHOD MD:5 MC:1	METRIC MD:2 PM:4 DT:2 MC:6	METHOD MD:16 PM:9 DT:12 MC:15	METHOD MD:22 PM:14 DT:16 MC:9	METHOD MD:32 PM:9 DT:6 MC:8
supervised learning	1122	METHOD MD:212 PM:97 DT:2	METHOD MD:23 PM:17 DT:16 MC:2	DATASET MD:29 PM:14 DT:33 MC:8	METHOD MD:17 PM:13 DT:15 MC:2	METHOD MD:30 PM:23 DT:23 MC:5
very high	1122	METRIC MD:1 DT:2 MC:22	DATASET MD:9 PM:6 DT:31 MC:15	METHOD MD:17 PM:6 DT:14 MC:5	DATASET MD:7 PM:4 DT:22 MC:9	METHOD MD:11 PM:5 DT:9 MC:11
topic model	1120	METHOD MD:15 PM:5 MC:1	METHOD MD:23 PM:6 DT:3	METHOD MD:34 PM:7 DT:9 MC:5	METHOD MD:44 PM:7 DT:15 MC:1	METHOD MD:48 PM:7 DT:15 MC:2
naive bayes	1118	METHOD MD:32 PM:4 DT:1 MC:2	METHOD MD:26 PM:11 DT:1 MC:5	METHOD MD:15 PM:6 DT:8 MC:3	METHOD MD:26 PM:5 DT:4 MC:6	METHOD MD:25 PM:3 DT:8
outlier detection	1100	METHOD MD:96 PM:36 DT:1 MC:1	METHOD MD:42 PM:25 DT:17 MC:9	DATASET MD:21 PM:13 DT:26	DATASET MD:22 PM:13 DT:43 MC:4	DATASET MD:23 PM:15 DT:26 MC:15
natural language	1090	METHOD MD:3 PM:3 DT:1	DATASET MD:8 PM:9 DT:11	PROBLEM MD:14 PM:16 DT:4 MC:1	PROBLEM MD:9 PM:11 DT:4 MC:1	METHOD MD:12 PM:9 DT:6 MC:1
community structure	1089	METHOD MD:1 PM:1 MC:1	METHOD MD:9 DT:3	METHOD MD:27 PM:3 DT:2 MC:2	METHOD MD:15 PM:7 DT:9 MC:10	METHOD MD:12 PM:8 DT:2 MC:6
neural information processing systems	1068	N/A	N/A	DATASET MD:3 PM:1 DT:7	METHOD MD:10 PM:2 DT:3 MC:3	METHOD MD:32 PM:11 DT:17 MC:2
domain knowledge	1059	METHOD MD:2 PM:1	DATASET MD:5 PM:6 DT:11 MC:1	METHOD MD:26 PM:23 DT:22 MC:2	METHOD MD:51 PM:32 DT:11 MC:4	METHOD MD:26 PM:16 DT:21 MC:4
learning to rank	1052	METHOD MD:145 PM:27 DT:10 MC:7	METHOD MD:29 PM:17 DT:11 MC:2	METHOD MD:18 PM:11 DT:17 MC:1	METHOD MD:51 PM:13 DT:23 MC:6	PROBLEM MD:12 PM:31 DT:7 MC:6
linked data	1006	METHOD MD:6 PM:5	METHOD MD:12 PM:10 DT:12 MC:2	DATASET MD:13 PM:9 DT:22 MC:1	DATASET MD:14 PM:5 DT:25	DATASET MD:15 PM:7 DT:37
human factors	998	N/A	N/A	PROBLEM MD:1 PM:4	PROBLEM MD:1 PM:3 DT:2 MC:2	PROBLEM MD:2 PM:6 DT:2 MC:1
semi supervised learning	995	METHOD MD:140 PM:49	METHOD MD:35 PM:10 DT:8 MC:1	METHOD MD:20 PM:17 DT:12 MC:5	METHOD MD:19 PM:5 DT:19 MC:3	METHOD MD:27 PM:6 DT:15 MC:4
online social networks	987	N/A	DATASET MD:3 PM:5 DT:8	DATASET MD:4 PM:6 DT:7 MC:2	DATASET MD:2 PM:2 DT:5 MC:5	DATASET MD:5 PM:5 DT:8 MC:5
transfer learning	985	METHOD MD:128 PM:32 DT:6 MC:2	METHOD MD:23 PM:14 DT:8	DATASET MD:16 PM:15 DT:17 MC:2	METHOD MD:27 PM:10 DT:18 MC:5	METHOD MD:26 PM:14 DT:14 MC:1
natural language processing	981	PROBLEM MD:6 PM:9	METHOD MD:23 PM:14 DT:7	DATASET MD:3 PM:5 DT:10	METHOD MD:6 PM:6 DT:3 MC:1	DATASET MD:6 PM:4 DT:8
spectral clustering	976	METHOD MD:104 PM:3 DT:1	METHOD MD:16 PM:7 DT:7 MC:4	METHOD MD:16 PM:3 DT:15 MC:4	METHOD MD:17 PM:2 DT:14 MC:3	METHOD MD:57 PM:7 DT:20 MC:4
named entities	974	N/A	PROBLEM MD:1 PM:3 DT:3 MC:2	DATASET MD:15 PM:12 DT:21 MC:1	DATASET MD:12 PM:8 DT:13 MC:2	METHOD MD:16 PM:12 DT:5 MC:3
prediction accuracy	951	METRIC MD:3 PM:1 DT:1 MC:4	METHOD MD:7 DT:5 MC:4	METHOD MD:28 PM:7 DT:11 MC:5	METHOD MD:38 PM:9 DT:14 MC:13	METHOD MD:31 PM:3 DT:10 MC:6
text categorization	932	PROBLEM MD:11 PM:35 DT:9	PROBLEM MD:17 PM:18 DT:2 MC:1	PROBLEM MD:12 PM:56 DT:9	METHOD MD:20 PM:6 DT:6	PROBLEM MD:10 PM:20 DT:2 MC:1
mutual information	931	METRIC MD:5 MC:31	METHOD MD:21 PM:2 DT:5 MC:11	METHOD MD:13 PM:5 DT:6 MC:9	METHOD MD:20 PM:3 DT:5 MC:20	METHOD MD:19 PM:7 DT:6 MC:13
sponsored search	921	PROBLEM MD:4 PM:43 DT:16	DATASET MD:21 PM:16 DT:25 MC:1	METHOD MD:16 PM:7 DT:4 MC:3	METHOD MD:14 PM:12 DT:4 MC:1	PROBLEM MD:14 PM:16 DT:11 MC:4
linear regression	921	METHOD MD:167 PM:37 MC:6	METHOD MD:27 PM:6 DT:7 MC:2	METHOD MD:27 PM:8 DT:10 MC:13	METHOD MD:18 PM:6 DT:11 MC:6	METHOD MD:31 PM:11 DT:6 MC:11
random walks	915	METHOD MD:3	METHOD MD:11 PM:7 DT:8 MC:4	METHOD MD:15 PM:5 DT:4 MC:5	METRIC MD:4 PM:3 DT:3 MC:5	METHOD MD:14 PM:5 DT:4 MC:7
gibbs sampling	913	METHOD MD:146 PM:21	METHOD MD:37 PM:3 DT:1 MC:6	METHOD MD:55 PM:4 DT:5 MC:8	METHOD MD:49 PM:6 DT:5 MC:7	METHOD MD:41 PM:7 DT:7 MC:6
probabilistic model	904	METHOD MD:1 MC:1	METHOD MD:14 PM:1 MC:3	METHOD MD:30 PM:11 DT:18 MC:9	METHOD MD:32 PM:7 DT:12 MC:7	METHOD MD:34 PM:9 DT:8 MC:14
information diffusion	896	METHOD MD:102 PM:55 DT:5 MC:4	METHOD MD:41 PM:16 DT:1 MC:1	METHOD MD:19 PM:9 DT:2 MC:1	METHOD MD:22 PM:7 DT:3	METHOD MD:28 PM:9 DT:5 MC:2
language models	880	METHOD MD:1	METHOD MD:8 PM:6 MC:4	METHOD MD:18 PM:11 DT:3 MC:4	METHOD MD:20 PM:5 DT:4 MC:1	METHOD MD:22 PM:4 DT:4 MC:1
mixture model	873	METHOD MD:19 PM:3 MC:1	METHOD MD:8 PM:1 DT:2	METHOD MD:20 PM:6 DT:16 MC:8	METHOD MD:39 PM:10 DT:15 MC:9	METHOD MD:34 PM:7 DT:17 MC:3
very low	866	METRIC MD:2 PM:2 DT:3 MC:18	METRIC MD:6 PM:2 DT:6 MC:18	METRIC MD:5 PM:7 DT:8 MC:10	METHOD MD:9 PM:3 DT:9 MC:5	DATASET MD:7 PM:5 DT:9 MC:5
markov chain	861	METHOD MD:63 PM:7 DT:1	METHOD MD:16 PM:4	METHOD MD:24 PM:6 DT:2 MC:4	METHOD MD:17 PM:6 DT:3 MC:1	METHOD MD:32 PM:16 DT:3 MC:5
information gain	837	METRIC MD:4 DT:2 MC:22	METRIC MD:8 PM:2 MC:15	METRIC MD:12 PM:3 DT:2 MC:14	METRIC MD:10 PM:2 DT:10 MC:12	METHOD MD:9 PM:6 DT:9 MC:5
knowledge management	834	PROBLEM MD:1 PM:31	METHOD MD:4 PM:3 DT:4 MC:1	DATASET PM:3 DT:5	METHOD MD:6 PM:3	METHOD MD:2 PM:2
united states	833	DATASET DT:1	DATASET PM:2 DT:7	DATASET MD:2 PM:5 DT:9	PROBLEM MD:1 PM:3 DT:3 MC:1	DATASET MD:2 DT:9 MC:1
neural networks	823	METHOD MD:4	DATASET MD:13 PM:9 DT:21 MC:2	METHOD MD:11 PM:9 DT:11 MC:4	DATASET MD:6 PM:1 DT:9 MC:3	METHOD MD:11 PM:7 DT:8 MC:1
hierarchical clustering	816	METHOD MD:148 PM:17	METHOD MD:16 PM:13 DT:3 MC:2	METHOD MD:16 PM:7 DT:12 MC:5	METHOD MD:28 PM:8 DT:25 MC:6	DATASET MD:16 PM:2 DT:17 MC:6
anchor text	792	METHOD MD:6 PM:1 DT:6	METHOD MD:10 PM:2 DT:2	METHOD MD:10 PM:2 DT:2 MC:1	DATASET MD:2 PM:2 DT:5 MC:3	METHOD MD:4 PM:3 DT:2 MC:2
sentiment analysis	787	METHOD MD:20 PM:16 DT:1	METHOD MD:19 PM:6 DT:2	DATASET MD:9 PM:10 DT:14	METHOD MD:11 PM:10 DT:7	PROBLEM MD:12 PM:13 DT:7 MC:2
latent dirichlet allocation	775	METHOD MD:22	METHOD MD:34 PM:2 DT:5 MC:1	METHOD MD:17 PM:2 DT:1	METHOD MD:52 PM:6 DT:2	METHOD MD:21 PM:6
computer vision	774	PROBLEM MD:2 PM:3	PROBLEM MD:2 PM:6 DT:6	DATASET PM:4 DT:5	DATASET MD:2 PM:4 DT:6 MC:1	PROBLEM MD:5 PM:9 DT:3 MC:2
question answering	767	PROBLEM MD:11 PM:84 DT:3	PROBLEM MD:11 PM:12 DT:6	DATASET MD:8 PM:10 DT:18	PROBLEM MD:6 PM:21 DT:10 MC:3	PROBLEM MD:6 PM:16 DT:6 MC:1
bag of words	755	METHOD MD:111 PM:6 DT:1 MC:1	METHOD MD:19 DT:1 MC:1	METHOD MD:6 PM:3 DT:6 MC:6	METHOD MD:15 PM:4 DT:4 MC:2	METHOD MD:15 PM:5 DT:4 MC:1
precision recall	753	METRIC MD:7 PM:1 DT:1 MC:35	METRIC MD:3 PM:2 DT:2 MC:64	METRIC MD:5 PM:2 DT:1 MC:7	METHOD MD:8 PM:3 DT:6 MC:7	METRIC MD:8 PM:8 DT:10 MC:14
bayesian network	753	METHOD MD:22 MC:4	METHOD MD:28 PM:4 DT:8 MC:2	METHOD MD:29 PM:10 DT:15 MC:1	METHOD MD:19 PM:5 DT:17 MC:2	DATASET MD:23 PM:5 DT:25 MC:2
clustering coefficient	753	METRIC MC:5	METRIC MD:1 MC:3	METRIC MD:2 PM:1 MC:7	METHOD MD:9 PM:3 MC:6	METHOD MD:5 PM:5 MC:3
data source	740	PROBLEM MD:1 PM:2	DATASET MD:2 PM:2 DT:9 MC:1	DATASET MD:6 PM:7 DT:23 MC:5	DATASET MD:11 PM:9 DT:39 MC:6	DATASET MD:9 PM:7 DT:34 MC:7
gold standard	735	DATASET MD:2 PM:6 DT:48 MC:5	PROBLEM MD:1 PM:6 DT:6 MC:2	PROBLEM MD:12 PM:15 DT:15 MC:1	DATASET MD:9 PM:12 DT:13	PROBLEM MD:7 PM:17 DT:13 MC:4
web search engines	725	METHOD MD:2 PM:1	METHOD MD:9 PM:6 DT:4 MC:1	METHOD MD:12 PM:10 DT:6 MC:2	METHOD MD:9 PM:6 DT:1 MC:2	PROBLEM MD:5 PM:8 DT:1 MC:2
support vector machine	719	METHOD MD:16	METHOD MD:21 PM:8 DT:2	METHOD MD:12 PM:4 DT:5 MC:3	METHOD MD:33 PM:5 DT:4 MC:3	METHOD MD:18 PM:7 DT:2 MC:5
query expansion	704	METHOD MD:41 PM:12 MC:1	METHOD MD:13 PM:8 DT:5 MC:1	METHOD MD:15 PM:6 DT:2	PROBLEM MD:7 PM:8 DT:5	PROBLEM MD:6 PM:8 DT:2
dynamic programming	699	METHOD MD:233 PM:20	METHOD MD:38 PM:6 MC:1	METHOD MD:29 PM:6 MC:3	METHOD MD:23 PM:8 DT:2 MC:1	METHOD MD:20 PM:10 MC:4
sliding window	690	METHOD MD:45 PM:25 DT:1	METHOD MD:9 PM:3 DT:3 MC:1	METHOD MD:13 PM:5 DT:12 MC:3	METHOD MD:24 PM:2 DT:13 MC:4	METHOD MD:14 PM:6 DT:9 MC:4
conditional probability	688	METRIC MD:5 MC:8	METHOD MD:16 PM:1 DT:1 MC:7	METHOD MD:16 PM:2 DT:7 MC:5	METHOD MD:9 PM:2 DT:2 MC:6	METHOD MD:13 PM:1 DT:9 MC:10
information need	685	PROBLEM PM:1	PROBLEM MD:2 PM:3	PROBLEM MD:5 PM:7 DT:1 MC:2	PROBLEM MD:5 PM:12 MC:1	PROBLEM MD:7 PM:11 DT:3
bottom up	677	METHOD MD:128 PM:9 DT:3 MC:1	METHOD MD:62 PM:8 DT:1	METHOD MD:38 PM:6 DT:3	METHOD MD:36 PM:8 DT:10	METHOD MD:27 PM:3 DT:5 MC:2
influence maximization	672	PROBLEM MD:19 PM:169 DT:1	PROBLEM MD:24 PM:31 MC:2	METHOD MD:25 PM:15 DT:2 MC:3	METHOD MD:21 PM:10 DT:5 MC:3	METHOD MD:30 PM:11 DT:9 MC:4
degree distribution	670	PROBLEM PM:1	METHOD MD:2 DT:1	METHOD MD:6 PM:1 DT:1 MC:2	METHOD MD:11 PM:4 DT:1 MC:1	METHOD MD:9 PM:1 MC:6
web search engine	667	PROBLEM MD:2 PM:6 DT:2	DATASET MD:1 DT:3 MC:3	METHOD MD:6 PM:1 DT:6 MC:1	DATASET MD:7 PM:4 DT:9 MC:4	DATASET MD:7 PM:3 DT:10
binary classification	663	PROBLEM MD:28 PM:216 DT:8 MC:4	PROBLEM MD:5 PM:11 DT:3 MC:2	PROBLEM MD:9 PM:47 DT:6 MC:2	PROBLEM MD:11 PM:14 DT:7 MC:4	PROBLEM MD:8 PM:27 DT:5 MC:7
