ENTITY	COUNT	WINDOWSIZE1	WINDOWSIZE2	WINDOWSIZE3	WINDOWSIZE4	WINDOWSIZE5
data mining	12072	PROBLEM MD:331 PM:494 DT:8 MC:1	DATASET MD:108 PM:148 DT:485 MC:26	DATASET MD:122 PM:123 DT:284 MC:10	DATASET MD:90 PM:99 DT:399 MC:8	DATASET MD:91 PM:105 DT:206 MC:10
machine learning	7700	METHOD MD:407 PM:135 DT:21	DATASET MD:118 PM:69 DT:243 MC:8	DATASET MD:55 PM:71 DT:227 MC:15	DATASET MD:64 PM:80 DT:170 MC:8	DATASET MD:74 PM:66 DT:109 MC:12
search engine	5984	PROBLEM MD:29 PM:32 DT:27 MC:2	DATASET MD:33 PM:24 DT:79 MC:16	METHOD MD:96 PM:56 DT:48 MC:26	METHOD MD:82 PM:51 DT:74 MC:25	METHOD MD:69 PM:54 DT:65 MC:23
social networks	5291	METHOD MD:5 DT:4	PROBLEM MD:55 PM:107 DT:32 MC:4	DATASET MD:39 PM:22 DT:47 MC:3	METHOD MD:47 PM:33 DT:32 MC:6	METHOD MD:72 PM:21 DT:35 MC:11
world wide web	5040	DATASET DT:1	PROBLEM MD:1 PM:4 DT:2 MC:2	METHOD MD:16 PM:16 DT:10	DATASET MD:5 PM:8 DT:26	METHOD MD:16 PM:7 DT:7 MC:1
social network	4813	DATASET MD:12 PM:13 DT:234 MC:1	METHOD MD:40 PM:21 DT:18 MC:3	METHOD MD:69 PM:37 DT:36 MC:6	METHOD MD:64 PM:38 DT:35 MC:9	METHOD MD:65 PM:37 DT:33 MC:11
information retrieval	4775	PROBLEM MD:53 PM:157 DT:7 MC:8	METHOD MD:157 PM:86 DT:37 MC:16	DATASET MD:33 PM:30 DT:70 MC:16	PROBLEM MD:44 PM:48 DT:24 MC:8	PROBLEM MD:49 PM:56 DT:31 MC:19
new york	4367	N/A	DATASET MD:1 PM:3 DT:6 MC:1	DATASET MD:2 PM:1 DT:44 MC:2	DATASET MD:4 PM:3 DT:11	DATASET MD:7 PM:5 DT:40 MC:1
computer science	4012	PROBLEM MD:2 PM:3	DATASET MD:2 PM:15 DT:16	DATASET PM:6 DT:10	PROBLEM MD:8 PM:15 DT:11 MC:1	DATASET MD:8 PM:9 DT:12
search engines	3702	DATASET MD:2 PM:2 DT:3	PROBLEM MD:10 PM:22 DT:21 MC:7	DATASET MD:19 PM:26 DT:128 MC:5	DATASET MD:18 PM:30 DT:39 MC:6	PROBLEM MD:20 PM:35 DT:24 MC:9
sessions	3489	PROBLEM MD:1 PM:6 DT:3 MC:3	PROBLEM MD:11 PM:34 DT:5 MC:2	DATASET MD:25 PM:29 DT:32 MC:11	DATASET MD:34 PM:20 DT:38 MC:20	PROBLEM MD:27 PM:33 DT:24 MC:10
feature selection	3081	METHOD MD:338 PM:101 MC:16	METHOD MD:74 PM:31 DT:22 MC:18	METHOD MD:69 PM:35 DT:60 MC:10	METHOD MD:80 PM:50 DT:57 MC:11	METHOD MD:69 PM:40 DT:55 MC:19
semantic web	3053	DATASET MD:21 PM:30 DT:76	DATASET MD:21 PM:29 DT:89 MC:3	DATASET MD:42 PM:53 DT:56 MC:1	DATASET MD:29 PM:33 DT:64 MC:1	METHOD MD:57 PM:29 DT:37
state of the art	2650	METHOD MD:148 PM:25 DT:5 MC:3	METHOD MD:133 PM:41 DT:14 MC:9	METHOD MD:224 PM:46 DT:16 MC:8	METHOD MD:117 PM:39 DT:26 MC:5	METHOD MD:103 PM:41 DT:32 MC:4
k means	2478	METHOD MD:50 PM:15 DT:1 MC:2	METHOD MD:183 PM:12 DT:7 MC:29	METHOD MD:66 PM:14 DT:21 MC:17	METHOD MD:70 PM:10 DT:45 MC:16	METHOD MD:64 PM:7 DT:40 MC:14
random walk	2467	METHOD MD:248 PM:53 DT:23 MC:7	METHOD MD:53 PM:14 DT:5 MC:21	METHOD MD:74 PM:13 DT:4 MC:14	METHOD MD:46 PM:11 DT:17 MC:6	METHOD MD:45 PM:13 DT:10 MC:22
collaborative filtering	2428	METHOD MD:201 PM:47 DT:7 MC:1	METHOD MD:128 PM:30 DT:4 MC:5	METHOD MD:64 PM:34 DT:21 MC:13	METHOD MD:51 PM:25 DT:14 MC:4	METHOD MD:38 PM:23 DT:8 MC:3
artificial intelligence	2239	PROBLEM MD:2 PM:3	DATASET MD:4 PM:5 DT:20	DATASET MD:6 PM:5 DT:11 MC:7	METHOD MD:23 PM:17 DT:6	DATASET MD:7 PM:7 DT:53 MC:6
web services	2234	METHOD MD:23 PM:7 DT:1	METHOD MD:49 PM:28 DT:13 MC:4	METHOD MD:48 PM:28 DT:11 MC:7	PROBLEM MD:45 PM:46 DT:15 MC:4	METHOD MD:53 PM:24 DT:10 MC:3
upper bound	2112	METRIC MD:2 PM:1 MC:56	METHOD MD:8 PM:4 DT:2 MC:5	METRIC MD:27 PM:9 DT:7 MC:31	METRIC MD:36 PM:11 DT:6 MC:51	METHOD MD:32 PM:8 DT:8 MC:24
active learning	2057	METHOD MD:244 PM:97 MC:1	METHOD MD:47 PM:35 DT:12 MC:14	METHOD MD:53 PM:26 DT:25 MC:8	METHOD MD:40 PM:19 DT:38 MC:3	METHOD MD:56 PM:23 DT:25 MC:5
decision tree	2021	METHOD MD:139 PM:3	METHOD MD:83 PM:21 DT:7 MC:2	METHOD MD:56 PM:22 DT:22 MC:7	METHOD MD:61 PM:21 DT:55 MC:10	DATASET MD:44 PM:27 DT:53 MC:8
cross validation	1962	METHOD MD:79 PM:20 MC:1	METHOD MD:18 PM:4 DT:6 MC:9	DATASET MD:30 PM:8 DT:43 MC:26	DATASET MD:40 PM:18 DT:79 MC:38	DATASET MD:39 PM:15 DT:56 MC:43
association rules	1899	METHOD MD:6	DATASET MD:13 PM:5 DT:22 MC:8	METHOD MD:72 PM:31 DT:36 MC:6	DATASET MD:30 PM:20 DT:50 MC:9	DATASET MD:26 PM:13 DT:40 MC:4
recommender systems	1884	DATASET MD:1 PM:1 DT:2	PROBLEM MD:15 PM:25 DT:8 MC:4	PROBLEM MD:12 PM:16 DT:13 MC:2	METHOD MD:25 PM:18 DT:8 MC:4	PROBLEM MD:16 PM:29 DT:10 MC:1
logistic regression	1805	METHOD MD:253 PM:16 DT:1 MC:8	METHOD MD:43 PM:8 DT:3 MC:4	METHOD MD:60 PM:15 DT:13 MC:10	METHOD MD:58 PM:9 DT:28 MC:16	METHOD MD:56 PM:14 DT:24 MC:11
power law	1782	METRIC MD:5 DT:2 MC:28	METHOD MD:17 PM:2 DT:6 MC:11	METHOD MD:23 PM:10 DT:13 MC:21	DATASET MD:21 PM:8 DT:40 MC:9	METHOD MD:19 PM:4 DT:11 MC:8
information systems	1658	PROBLEM PM:2	DATASET MD:7 PM:3 DT:12 MC:1	DATASET MD:9 PM:10 DT:72 MC:1	PROBLEM MD:13 PM:23 DT:14	DATASET MD:12 PM:22 DT:53 MC:4
knowledge base	1630	DATASET MD:5 PM:5 DT:8 MC:2	DATASET MD:6 PM:2 DT:8 MC:1	PROBLEM MD:21 PM:23 DT:21 MC:3	METHOD MD:16 PM:12 DT:4 MC:1	METHOD MD:22 PM:16 DT:10 MC:5
link prediction	1540	PROBLEM MD:59 PM:276 MC:5	PROBLEM MD:27 PM:43 DT:1 MC:3	PROBLEM MD:17 PM:31 DT:18 MC:6	PROBLEM MD:19 PM:31 DT:9 MC:2	METHOD MD:23 PM:23 DT:11 MC:2
topic models	1460	METHOD MD:2 PM:1	PROBLEM MD:7 PM:15 DT:10 MC:5	METHOD MD:49 PM:22 DT:9 MC:4	METHOD MD:26 PM:13 DT:9 MC:5	METHOD MD:30 PM:15 DT:9 MC:3
frequent itemsets	1408	METHOD MD:2 PM:1	DATASET MD:9 PM:3 DT:14	METHOD MD:41 PM:28 DT:31	METHOD MD:39 PM:10 DT:31 MC:5	DATASET MD:25 PM:7 DT:33 MC:4
standard deviation	1375	METRIC MC:2	METRIC DT:1 MC:10	METRIC MD:3 PM:5 DT:12 MC:18	METRIC MD:5 PM:3 DT:5 MC:19	METRIC MD:9 DT:11 MC:20
lower bound	1352	METRIC MD:2 PM:3 MC:7	METHOD MD:4 PM:1 DT:1 MC:2	METHOD MD:12 PM:2 DT:3 MC:12	METRIC MD:24 PM:7 DT:7 MC:32	METHOD MD:27 PM:5 DT:7 MC:25
